epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,1181.82,0.28363,1.82739,0,0.46453,0.87993,0.90402,0.90719,0.93381,0.91003,0.88743,0.85813,0.85033,0.69191,0.21513,1.68912,0,0.35711,0.71054,0.0007327,0.0007327,0.0007327
29,1222.4,0.28045,1.76459,0,0.46731,0.88036,0.90639,0.90566,0.9426,0.91353,0.88625,0.86003,0.84796,0.67122,0.22754,1.68535,0,0.33745,0.71478,0.0007228,0.0007228,0.0007228
30,1263.24,0.27462,1.80875,0,0.46616,0.87463,0.91026,0.90089,0.94007,0.91866,0.8689,0.85824,0.85487,0.68194,0.21565,1.68854,0,0.33629,0.71335,0.0007129,0.0007129,0.0007129
31,1303.95,0.26842,1.81569,0,0.45207,0.87888,0.92445,0.88865,0.94197,0.91778,0.87711,0.85491,0.83435,0.6729,0.22817,1.67179,0,0.33776,0.71256,0.000703,0.000703,0.000703
32,1344.54,0.27521,1.82066,0,0.45403,0.87848,0.90601,0.91228,0.94381,0.92041,0.88352,0.85483,0.85756,0.69425,0.21952,1.66866,0,0.32665,0.70803,0.0006931,0.0006931,0.0006931
33,1387.28,0.26624,1.75467,0,0.43969,0.87657,0.92326,0.89312,0.94289,0.92036,0.89298,0.85984,0.84903,0.68515,0.20165,1.65702,0,0.32231,0.70695,0.0006832,0.0006832,0.0006832
34,1427.88,0.26611,1.74638,0,0.4389,0.87645,0.90403,0.9061,0.93069,0.91029,0.87995,0.85734,0.85644,0.68663,0.2084,1.66431,0,0.34176,0.70458,0.0006733,0.0006733,0.0006733
35,1468.31,0.26375,1.72226,0,0.43124,0.87135,0.92515,0.87987,0.94156,0.91808,0.87565,0.86044,0.84889,0.68669,0.21933,1.64407,0,0.33914,0.71008,0.0006634,0.0006634,0.0006634
36,1508.84,0.26059,1.74539,0,0.4311,0.8716,0.92982,0.88599,0.94167,0.92054,0.88848,0.86272,0.8463,0.68828,0.20537,1.64376,0,0.31425,0.70179,0.0006535,0.0006535,0.0006535
37,1549.23,0.26365,1.75099,0,0.43927,0.87344,0.91137,0.91231,0.94857,0.92462,0.86657,0.85349,0.85395,0.69783,0.21126,1.65292,0,0.31626,0.70456,0.0006436,0.0006436,0.0006436
